ra,dec,fil,Object
337.3552407806937,-21.77169020557613,i,S230922g 3013919
338.18807013669726,-23.242702483579325,i,S230922g 3013919
337.220199537649,-24.885218589161063,i,S230922g 3013919
340.01063924534265,-23.069893623066868,i,S230922g 3013919
339.1702072169984,-21.61609252839766,i,S230922g 3013919
336.3715605438571,-23.400021853209623,i,S230922g 3013919
340.87452293533306,-24.52165624107701,i,S230922g 3013919
338.1013082086688,-26.37141881983881,i,S230922g 3013919
340.99622728193447,-21.448017291593484,i,S230922g 3013919
337.54056694820275,-18.69634419219106,i,S230922g 3013919
336.2685925587035,-26.53865602656833,i,S230922g 3013919
335.5483418049594,-21.91381418561262,i,S230922g 3013919
334.4839999999999,-24.68,i,S230922g 3013919
339.04533500570415,-24.71268955124826,i,S230922g 3013919
338.3481893840279,-20.15924506311365,i,S230922g 3013919
340.1636241834221,-20.00737137429465,i,S230922g 3013919
334.5591413537303,-23.53885532958623,i,S230922g 3013919
337.04574785185184,-27.701,i,S230922g 3013919
341.84425570977334,-22.88359875700208,i,S230922g 3013919
334.4339673534803,-26.68437439564049,i,S230922g 3013919
336.54281275594656,-20.298647461236392,i,S230922g 3013919
335.33122584384694,-28.199014996197285,i,S230922g 3013919
342.83528142427974,-21.269454650615245,i,S230922g 3013919
341.16433218417484,-18.418520332164903,i,S230922g 3013919
341.99410102471364,-19.84702649053905,i,S230922g 3013919
335.7467628207848,-18.82156671383236,i,S230922g 3013919
339.34542656835106,-18.561664154256444,i,S230922g 3013919
338.1350932160887,-29.546564240242414,i,S230922g 3013919
341.7679046212252,-25.97338825385029,i,S230922g 3013919
339.93308540627487,-26.18266076556636,i,S230922g 3013919
334.7465050194373,-20.426589399444453,i,S230922g 3013919
340.8583863053747,-27.653624801956727,i,S230922g 3013919
339.019942854376,-27.859625781618227,i,S230922g 3013919
336.2750404225709,-29.71671068869156,i,S230922g 3013919
340.3439674678889,-16.980934690526066,i,S230922g 3013919
338.5376204297724,-17.107887657181706,i,S230922g 3013919
333.7465350408776,-22.039465315817157,i,S230922g 3013919
339.98720422450907,-29.34985874528191,i,S230922g 3013919
336.7443138971344,-17.22838446937893,i,S230922g 3013919
342.71474958387216,-24.31612897878508,i,S230922g 3013919
342.99826624556897,-18.268897615407106,i,S230922g 3013919
342.1663516246144,-16.847517340185338,i,S230922g 3013919
332.5924608961563,-26.805557835121903,i,S230922g 3013919
332.7468242877077,-23.65919593234496,i,S230922g 3013919
332.95629366848783,-20.53907221761647,i,S230922g 3013919
339.14834427235314,-31.053086122661416,i,S230922g 3013919
341.8323275098082,-29.128597452019243,i,S230922g 3013919
342.69684110945815,-27.42709369470177,i,S230922g 3013919
343.69190231683814,-22.685810542288287,i,S230922g 3013919
331.7463537235691,-25.28177825448521,i,S230922g 3013919
336.318,-30.894,i,S230922g 3013919
332.5222336692281,-29.97828927532651,i,S230922g 3013919
334.4040690779155,-29.86128613745353,i,S230922g 3013919
335.3837399746223,-31.392256669363277,i,S230922g 3013919
333.48208918243944,-31.51945348505047,i,S230922g 3013919
338.3327687171415,-32.7552885485844,i,S230922g 3013919
343.8395985904854,-19.680191638396614,i,S230922g 3013919
345.5585634698341,-22.48152311218159,i,S230922g 3013919
342.18499999999995,-14.898,i,S230922g 3013919
334.96206700716425,-17.33943422761711,i,S230922g 3013919
333.96203230082114,-18.935339072201234,i,S230922g 3013919
331.6119352783774,-28.439211660459584,i,S230922g 3013919
336.42415023926094,-32.92231150594456,i,S230922g 3013919
344.5679924284309,-24.09809757497769,i,S230922g 3013919
333.5741877860939,-25.170770280770327,i,S230922g 3013919
331.94683852769515,-22.147641515887724,i,S230922g 3013919
339.571,-13.568,i,S230922g 3013919
344.85021664767305,-18.115784892765543,i,S230922g 3013919
341.36300000000006,-13.46,i,S230922g 3013919
344.00474962483656,-16.71161613099672,i,S230922g 3013919
337.794,-13.672,i,S230922g 3013919
344.005,-14.772,i,S230922g 3013919
337.7381874144411,-15.647039025388052,i,S230922g 3013919
341.0111962206525,-30.84211983320977,i,S230922g 3013919
340.2264311934014,-32.5586556566809,i,S230922g 3013919
344.5402969543871,-27.180039555491916,i,S230922g 3013919
346.4412437608209,-23.87256095750597,i,S230922g 3013919
343.6734377641205,-28.88278853924152,i,S230922g 3013919
344.69235718873387,-21.084400242530872,i,S230922g 3013919
339.5319917928359,-15.535270307260474,i,S230922g 3013919
335.957427564593,-15.752362802221636,i,S230922g 3013919
345.7051087641466,-19.51086002629061,i,S230922g 3013919
333.4760057352134,-28.33238933716223,i,S230922g 3013919
342.8640309415396,-30.604580978110203,i,S230922g 3013919
339.4659782846002,-34.27017867744283,i,S230922g 3013919
337.3552407806937,-21.77169020557613,g,S230922g 3013919
338.18807013669726,-23.242702483579325,g,S230922g 3013919
337.220199537649,-24.885218589161063,g,S230922g 3013919
340.01063924534265,-23.069893623066868,g,S230922g 3013919
339.1702072169984,-21.61609252839766,g,S230922g 3013919
336.3715605438571,-23.400021853209623,g,S230922g 3013919
340.87452293533306,-24.52165624107701,g,S230922g 3013919
338.1013082086688,-26.37141881983881,g,S230922g 3013919
340.99622728193447,-21.448017291593484,g,S230922g 3013919
337.54056694820275,-18.69634419219106,g,S230922g 3013919
336.2685925587035,-26.53865602656833,g,S230922g 3013919
335.5483418049594,-21.91381418561262,g,S230922g 3013919
334.4839999999999,-24.68,g,S230922g 3013919
339.04533500570415,-24.71268955124826,g,S230922g 3013919
338.3481893840279,-20.15924506311365,g,S230922g 3013919
340.1636241834221,-20.00737137429465,g,S230922g 3013919
334.5591413537303,-23.53885532958623,g,S230922g 3013919
337.04574785185184,-27.701,g,S230922g 3013919
341.84425570977334,-22.88359875700208,g,S230922g 3013919
334.4339673534803,-26.68437439564049,g,S230922g 3013919
336.54281275594656,-20.298647461236392,g,S230922g 3013919
335.33122584384694,-28.199014996197285,g,S230922g 3013919
342.83528142427974,-21.269454650615245,g,S230922g 3013919
341.16433218417484,-18.418520332164903,g,S230922g 3013919
341.99410102471364,-19.84702649053905,g,S230922g 3013919
335.7467628207848,-18.82156671383236,g,S230922g 3013919
339.34542656835106,-18.561664154256444,g,S230922g 3013919
341.7679046212252,-25.97338825385029,g,S230922g 3013919
338.1350932160887,-29.546564240242414,g,S230922g 3013919
339.93308540627487,-26.18266076556636,g,S230922g 3013919
334.7465050194373,-20.426589399444453,g,S230922g 3013919
340.8583863053747,-27.653624801956727,g,S230922g 3013919
339.019942854376,-27.859625781618227,g,S230922g 3013919
336.2750404225709,-29.71671068869156,g,S230922g 3013919
333.7465350408776,-22.039465315817157,g,S230922g 3013919
340.3439674678889,-16.980934690526066,g,S230922g 3013919
338.5376204297724,-17.107887657181706,g,S230922g 3013919
339.98720422450907,-29.34985874528191,g,S230922g 3013919
342.71474958387216,-24.31612897878508,g,S230922g 3013919
336.7443138971344,-17.22838446937893,g,S230922g 3013919
342.99826624556897,-18.268897615407106,g,S230922g 3013919
342.1663516246144,-16.847517340185338,g,S230922g 3013919
332.95629366848783,-20.53907221761647,g,S230922g 3013919
332.5924608961563,-26.805557835121903,g,S230922g 3013919
332.7468242877077,-23.65919593234496,g,S230922g 3013919
331.7463537235691,-25.28177825448521,g,S230922g 3013919
339.14834427235314,-31.053086122661416,g,S230922g 3013919
341.8323275098082,-29.128597452019243,g,S230922g 3013919
342.69684110945815,-27.42709369470177,g,S230922g 3013919
343.69190231683814,-22.685810542288287,g,S230922g 3013919
336.318,-30.894,g,S230922g 3013919
332.5222336692281,-29.97828927532651,g,S230922g 3013919
334.4040690779155,-29.86128613745353,g,S230922g 3013919
335.3837399746223,-31.392256669363277,g,S230922g 3013919
333.48208918243944,-31.51945348505047,g,S230922g 3013919
338.3327687171415,-32.7552885485844,g,S230922g 3013919
344.5679924284309,-24.09809757497769,g,S230922g 3013919
343.8395985904854,-19.680191638396614,g,S230922g 3013919
345.5585634698341,-22.48152311218159,g,S230922g 3013919
342.18499999999995,-14.898,g,S230922g 3013919
334.96206700716425,-17.33943422761711,g,S230922g 3013919
333.96203230082114,-18.935339072201234,g,S230922g 3013919
331.6119352783774,-28.439211660459584,g,S230922g 3013919
336.42415023926094,-32.92231150594456,g,S230922g 3013919
333.5741877860939,-25.170770280770327,g,S230922g 3013919
331.94683852769515,-22.147641515887724,g,S230922g 3013919
337.794,-13.672,g,S230922g 3013919
339.571,-13.568,g,S230922g 3013919
344.85021664767305,-18.115784892765543,g,S230922g 3013919
341.36300000000006,-13.46,g,S230922g 3013919
344.00474962483656,-16.71161613099672,g,S230922g 3013919
344.005,-14.772,g,S230922g 3013919
337.7381874144411,-15.647039025388052,g,S230922g 3013919
344.69235718873387,-21.084400242530872,g,S230922g 3013919
341.0111962206525,-30.84211983320977,g,S230922g 3013919
340.2264311934014,-32.5586556566809,g,S230922g 3013919
344.5402969543871,-27.180039555491916,g,S230922g 3013919
346.4412437608209,-23.87256095750597,g,S230922g 3013919
343.6734377641205,-28.88278853924152,g,S230922g 3013919
339.5319917928359,-15.535270307260474,g,S230922g 3013919
335.957427564593,-15.752362802221636,g,S230922g 3013919
345.7051087641466,-19.51086002629061,g,S230922g 3013919
342.8640309415396,-30.604580978110203,g,S230922g 3013919
333.4760057352134,-28.33238933716223,g,S230922g 3013919
339.4659782846002,-34.27017867744283,g,S230922g 3013919
