col1,Unnamed: 0,TILEID,RA,DEC,desu,desg,desr,desi,desz,desy,clus_id,delve_passno,isdelve
24989,14327,DELVE-14328-1,123.81,-11.658,false,true,true,true,true,false,44773,1,true
24999,14340,DELVE-14341-1,125.64800000000002,-11.913,false,true,true,true,true,false,11243,1,true
25011,14354,DELVE-14355-1,127.481,-12.138,false,true,true,true,true,false,45096,1,true
25025,14370,DELVE-14371-1,129.29700000000005,-12.319,false,true,false,true,true,false,22671,1,true
24988,14326,DELVE-14327-1,122.46299999999997,-12.859,false,true,true,true,true,false,11130,1,true
24998,14339,DELVE-14340-1,124.317,-13.168,false,true,true,true,true,false,44724,1,true
25010,14353,DELVE-14354-1,126.16500000000002,-13.423,false,true,true,true,true,false,22450,1,true
25024,14369,DELVE-14370-1,128.007,-13.647,false,true,true,true,true,false,45002,1,true
25040,14386,DELVE-14387-1,129.83500000000004,-13.832,false,true,false,true,true,false,22615,1,true
24997,14338,DELVE-14339-1,122.969,-14.38,false,true,true,true,true,false,22215,1,true
25009,14352,DELVE-14353-1,124.832,-14.682,false,true,true,true,true,false,44642,1,true
25023,14368,DELVE-14369-1,126.69,-14.936,false,true,true,true,true,false,44801,1,true
25039,14385,DELVE-14386-1,128.54200000000003,-15.161,false,true,true,true,true,false,44918,1,true
25056,14403,DELVE-14404-1,130.38300000000004,-15.349,false,true,true,true,true,false,45112,1,true
25008,14351,DELVE-14352-1,123.481,-15.903,false,true,true,true,true,false,44327,1,true
25022,14367,DELVE-14368-1,125.35500000000002,-16.201,false,true,true,true,true,false,44531,1,true
25038,14384,DELVE-14385-1,127.224,-16.455,false,true,true,true,true,false,22348,1,true
25055,14402,DELVE-14403-1,129.08799999999997,-16.679,false,true,true,true,true,false,22397,1,true
-305,,,122.90975,-17.081,,,,,,,,,
25021,14366,DELVE-14367-1,124.002,-17.43,false,true,true,true,true,false,22118,1,true
25037,14383,DELVE-14384-1,125.88800000000003,-17.724,false,true,true,true,true,false,22187,1,true
25054,14401,DELVE-14402-1,127.76999999999998,-17.978,false,true,true,true,true,false,44539,1,true
25073,14420,DELVE-14421-1,129.64599999999996,-18.203,false,true,true,true,true,false,22341,1,true
-306,,,121.52775,-18.22,,,,,,,,,
-290,,,123.42775,-18.619,,,,,,,,,
-273,,,125.32975,-18.962,,,,,,,,,
25053,14400,DELVE-14401-1,126.433,-19.253,false,true,true,true,true,false,22121,1,true
-307,,,120.13175,-19.324,,,,,,,,,
25072,14419,DELVE-14420-1,128.32799999999995,-19.508,false,true,true,true,true,false,22178,1,true
25093,14440,DELVE-14441-1,130.21699999999998,-19.733,false,true,true,true,true,false,44519,1,true
-291,,,122.03975,-19.772,,,,,,,,,
-274,,,123.95575,-20.162,,,,,,,,,
-256,,,125.87275,-20.499,,,,,,,,,
25071,14418,DELVE-14419-1,126.98900000000005,-20.789,false,true,true,true,true,false,22047,1,true
-292,,,120.63675,-20.891,,,,,,,,,
25092,14439,DELVE-14440-1,128.899,-21.045,false,false,false,true,true,false,11048,1,true
-275,,,122.56275,-21.326,,,,,,,,,
-293,,,119.21675,-21.981,,,,,,,,,
-276,,,121.15175,-22.459,,,,,,,,,
-258,,,123.09675,-22.885,,,,,,,,,
-239,,,125.04675,-23.263,,,,,,,,,
-239,,,125.04675,-23.263,,,,,,,,,
-259,,,121.67975,-24.03,,,,,,,,,
-240,,,123.64475,-24.45,,,,,,,,,
-240,,,123.64475,-24.45,,,,,,,,,
-219,,,125.61375,-24.823,,,,,,,,,
-219,,,125.61375,-24.823,,,,,,,,,
-241,,,122.22175,-25.605,,,,,,,,,
-220,,,124.20775,-26.021,,,,,,,,,
-220,,,124.20775,-26.021,,,,,,,,,
-221,,,122.77875,-27.187,,,,,,,,,
