Object,fil,ra,dec
S240908bs,g,340.89924999999994,-75.98686111111111
S240908bs,g,345.9712083333333,-77.26091666666666
S240908bs,g,346.61454166666664,-76.41383333333334
S240908bs,g,5.761666666666666,-75.20694444444445
S240908bs,g,359.2018333333333,-77.59083333333332
S240908bs,g,347.46312499999993,-75.48472222222222
S240908bs,g,330.60954166666664,-77.94944444444445
S240908bs,g,359.2113749999999,-73.99383333333333
S240908bs,g,353.58754166666665,-74.81152777777777
S240908bs,g,359.22320833333333,-75.78619444444445
S240908bs,g,342.7670833333333,-74.25313888888888
S240908bs,g,336.6252083333333,-74.61574999999999
S240908bs,g,326.9791666666667,-76.41211111111112
S240908bs,g,334.02941666666663,-76.29683333333332
S240908bs,g,338.4952916666667,-77.71513888888889
S240908bs,g,348.62241666666665,-73.72027777777778
S240908bs,g,352.6052083333333,-76.26352777777778
S240908bs,g,5.393958333333332,-77.00675
S240908bs,g,343.97954166666665,-79.036
S240908bs,g,352.41487499999994,-77.54463888888888
S240908bs,g,350.6260958333333,-78.7263
S240908bs,g,344.8833333333333,-78.17536111111112
S240908bs,i,340.89924999999994,-75.98686111111111
S240908bs,i,345.9712083333333,-77.26091666666666
S240908bs,i,346.61454166666664,-76.41383333333334
S240908bs,i,359.2018333333333,-77.59083333333332
S240908bs,i,347.46312499999993,-75.48472222222222
S240908bs,i,330.60954166666664,-77.94944444444445
S240908bs,i,359.2113749999999,-73.99383333333333
S240908bs,i,353.58754166666665,-74.81152777777777
S240908bs,i,359.22320833333333,-75.78619444444445
S240908bs,i,342.7670833333333,-74.25313888888888
S240908bs,i,336.6252083333333,-74.61574999999999
S240908bs,i,326.9791666666667,-76.41211111111112
S240908bs,i,334.02941666666663,-76.29683333333332
S240908bs,i,338.4952916666667,-77.71513888888889
S240908bs,i,348.62241666666665,-73.72027777777778
S240908bs,i,352.6052083333333,-76.26352777777778
S240908bs,i,5.393958333333332,-77.00675
S240908bs,i,343.97954166666665,-79.036
S240908bs,i,352.5351666666666,-78.81175
S240908bs,i,4.824166666666666,-74.81269444444445
S240908bs,i,352.41487499999994,-77.54463888888888
S240908bs,i,344.8833333333333,-78.17536111111112
